epoch,train_srcc,test_srcc,best_srcc,rl2
500,0.9650,0.7329,0.8398,0.6222
501,0.9665,0.7412,0.8398,0.6210
502,0.9683,0.7113,0.8398,0.5995
503,0.9644,0.7112,0.8398,0.6464
504,0.9696,0.6996,0.8398,0.6263
505,0.9629,0.7234,0.8398,0.6256
506,0.9696,0.7430,0.8398,0.6400
507,0.9699,0.7353,0.8398,0.6611
508,0.9630,0.7285,0.8398,0.6191
509,0.9655,0.7300,0.8398,0.6438
510,0.9633,0.7023,0.8398,0.6261
511,0.9672,0.7416,0.8398,0.6439
512,0.9672,0.7391,0.8398,0.6342
513,0.9619,0.7120,0.8398,0.6097
514,0.9654,0.7281,0.8398,0.6314
515,0.9654,0.7093,0.8398,0.6151
516,0.9613,0.7135,0.8398,0.6299
517,0.9654,0.7288,0.8398,0.6433
518,0.9647,0.7188,0.8398,0.6219
519,0.9640,0.7390,0.8398,0.6452
520,0.9639,0.7137,0.8398,0.6365
521,0.9625,0.7311,0.8398,0.6623
522,0.9655,0.7176,0.8398,0.6238
523,0.9678,0.7388,0.8398,0.6317
524,0.9706,0.7090,0.8398,0.6198
525,0.9654,0.7311,0.8398,0.6614
526,0.9660,0.7124,0.8398,0.6203
527,0.9675,0.7303,0.8398,0.6337
528,0.9684,0.7244,0.8398,0.6247
529,0.9654,0.7119,0.8398,0.6272
530,0.9646,0.7302,0.8398,0.6526
531,0.9644,0.7365,0.8398,0.6101
532,0.9659,0.7474,0.8398,0.6186
533,0.9652,0.7035,0.8398,0.6189
534,0.9671,0.7140,0.8398,0.6279
535,0.9655,0.7470,0.8398,0.6629
536,0.9665,0.7050,0.8398,0.5977
537,0.9652,0.7258,0.8398,0.6316
538,0.9702,0.7381,0.8398,0.6353
539,0.9664,0.7276,0.8398,0.6323
540,0.9630,0.7172,0.8398,0.6207
541,0.9653,0.7086,0.8398,0.6295
542,0.9638,0.7345,0.8398,0.6478
543,0.9618,0.7493,0.8398,0.6676
544,0.9689,0.7152,0.8398,0.6120
545,0.9661,0.7426,0.8398,0.6672
546,0.9620,0.7070,0.8398,0.6308
547,0.9658,0.7067,0.8398,0.6220
548,0.9622,0.7305,0.8398,0.6578
549,0.9660,0.7216,0.8398,0.6525
550,0.9643,0.7332,0.8398,0.6160
551,0.9659,0.7423,0.8398,0.6664
552,0.9665,0.7239,0.8398,0.6124
553,0.9660,0.7336,0.8398,0.6572
554,0.9645,0.7285,0.8398,0.6144
555,0.9670,0.7306,0.8398,0.6130
556,0.9662,0.7332,0.8398,0.6316
557,0.9660,0.7004,0.8398,0.6233
